developer,genre,type,rating
Sierra Entertainment,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",singleplayer,T
Merge Games,"['Action', 'Platformer', '2D']",singleplayer,T
Zen Studios,"['Strategy', 'General']",NaN,T
Konami,"['Miscellaneous', 'Compilation']",NaN,T
Konami,"['Miscellaneous', 'Compilation']",singleplayer,T
Konami,"['Action Adventure', 'Fantasy']",singleplayer,M
Konami,"['Action Adventure', 'Fantasy', 'General']",multiplayer,T
Mercury Steam,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Mercury Steam,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Mercury Steam,"['Action Adventure', 'Fantasy', 'General']",singleplayer,M
Konami,"['Action', 'Role-Playing', 'Platformer', 'Action RPG', '2D']",singleplayer,T
Konami,"['Action', 'Role-Playing', 'Platformer', 'Action RPG', '2D']",singleplayer,T
Konami,"['Action', 'Platformer', '2D']",singleplayer,T
The Gentlebros,"['Role-Playing', 'Action RPG']",singleplayer,E10+
The Gentlebros,"['Action', 'Role-Playing', 'General', 'Action RPG']",singleplayer,E10+
Atlus,"['Action Adventure', 'Survival']",multiplayer,M
Manekoware,"['Action', 'Platformer', '3D']",NaN,E
Nicalis,"['Action', 'Platformer', '2D']",singleplayer,E10+
Pseudo Interactive,"['Driving', 'Racing', 'Kart']",multiplayer,T
EA Canada,"['Sports', 'General']",multiplayer,E
Matt Makes Games Inc.,"['Action', 'Platformer', '2D']",singleplayer,E10+
Immersion Software & Graphics,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",NaN,T
Blue Byte,"['Strategy', 'Real-Time', 'General']",singleplayer,NaN
Funcom,"['Driving', 'Racing', 'Motorcycle', 'Motocross']",NaN,T
Cyanide,"['Strategy', 'Real-Time', 'Fantasy', 'General']",NaN,NaN
Daedalic Entertainment,"['Adventure', 'General']",singleplayer,T
Frima Studio,"['Action', 'Platformer', '2D']",NaN,E
High Voltage Software,"['Action Adventure', 'Modern']",singleplayer,E
Broken Rules,"['Action', 'General', 'Flight']",multiplayer,E
Discord Games,"['Action', 'Platformer', '2D', 'Action Adventure', 'Open-World']",singleplayer,T
Ubisoft Romania,"['Miscellaneous', 'Board Games']",multiplayer,E
Mattel,"['Action', 'Miscellaneous', 'General', 'Board / Card Game']",multiplayer,E
Skip Ltd.,"['Action', 'Action Adventure', 'General', 'Fantasy']",NaN,E
Touchdown Entertainment,"['Action', 'Shooter', 'First-Person', 'Historic']",multiplayer,M
HandyGames,"['Adventure', 'Visual Novel']",singleplayer,M
Greg Lobanov,"['Adventure', 'General']",singleplayer,NaN
Ubisoft Montreal,"['Role-Playing', 'General']",singleplayer,E10+
Dead Mage,"['Role-Playing', 'Adventure', 'General', 'Action RPG']",multiplayer,T
Zoe Mode,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",NaN,E
"Twistplay, Ste Curran","['Puzzle', 'General']",singleplayer,NaN
Zoe Mode,"['Puzzle', 'Miscellaneous', 'Stacking']",NaN,E
NapNok Games,"['Miscellaneous', 'Party / Minigame']",singleplayer,E
Torn Banner Studios,"['Action', ""Beat-'Em-Up"", '3D']",multiplayer,NaN
InXile Entertainment,"['Action', 'General', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",NaN,T
Barnhouse Effect,"['Driving', 'Racing', 'Other']",multiplayer,E
Pixel Maniacs,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,NaN
Techland,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
EnjoyUp Games,"['Action', 'Platformer', '2D']",singleplayer,E10+
Sonic Team,"['Miscellaneous', 'Puzzle', 'General']",multiplayer,E
Punchline,"['Adventure', 'General']",singleplayer,T
Revolution Software,"['Adventure', 'General', 'Point-and-Click']",singleplayer,K-A
Monte Cristo Multimedia,"['Strategy', 'City Building', 'Management', 'Modern', 'Government']",NaN,E
Colossal Order,"['Simulation', 'General']",singleplayer,E
Colossal Order,"['City Building', 'Modern', 'Strategy', 'Management', 'Government']",singleplayer,E
Colossal Order,"['Strategy', 'Management', 'Government']",NaN,E
Eden Industries,"['Role-Playing', 'General', 'Japanese-Style']",singleplayer,E10+
Firaxis Games,"['Strategy', 'City Building', 'Management', 'Historic', 'Government']",singleplayer,E10+
Firaxis Games,"['Strategy', 'Turn-Based', 'Historic', '4X']",NaN,E
Hailstorm Games Inc,"['Adventure', 'General']",NaN,M
Game Republic,"['Action Adventure', 'Historic', 'General']",singleplayer,T
Nintendo,"['Action', 'Platformer', '2D']",multiplayer,E
Nintendo,"['Miscellaneous', 'Puzzle', 'Matching']",multiplayer,E
Nintendo,"['Role-Playing', 'Action RPG']",singleplayer,E
Sekai Games,"['Action Adventure', 'Adventure', 'General', 'Survival']",singleplayer,NaN
BreakAway Games,"['Strategy', 'City Building', 'Management', 'Historic', 'Government']",singleplayer,E
Weird Beluga,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",NaN,NaN
Mercury Steam,"['Action Adventure', 'Horror', 'Survival']",singleplayer,M
Gaslamp Games,"['Fantasy', 'Strategy', 'Real-Time', 'Management', 'General', 'Government']",singleplayer,RP
Storm in a Teacup,"['Adventure', '3D', 'First-Person']",singleplayer,M
Eyebrow Interactive,"['Action', 'Platformer', '2D']",NaN,E
Pwnee Studios,"['Action', 'Platformer', '2D']",NaN,T
Coilworks,"['Action', 'General']",NaN,E10+
Ubisoft Shanghai,"['Action Adventure', 'Adventure', 'Modern', 'General']",NaN,E
tinyBuild,"['Action', 'Platformer', '3D']",NaN,E
Oxeye,"['Action', 'Platformer', '2D']",NaN,NaN
GameMill Entertainment,"['Action', ""Beat-'Em-Up"", '2D']",singleplayer,T
Moving Player,"['Strategy', 'Real-Time', 'General', 'Defense']",NaN,E10+
Shift,"['Role-Playing', 'Action RPG']",multiplayer,M
Studio Saizensen,"['Role-Playing', 'Action RPG', 'General']",multiplayer,T
Otomate,"['Adventure', 'Visual Novel']",singleplayer,T
High Voltage Software,"['Action', 'Platformer', '3D']",NaN,E10+
GSC Game World,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,T
Milky Tea Studios,"['Racing', 'Arcade', 'Automobile']",NaN,T
Phoenix Online Studios,"['Adventure', 'General', 'Point-and-Click']",singleplayer,NaN
Lazy 8 Studios,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
Darkworks,"['Action Adventure', 'Horror']",singleplayer,M
Swordfish Studios,"['Action', 'Shooter', 'First-Person', 'Modern']",multiplayer,M
Codemasters,"['Driving', 'Racing', 'Rally / Offroad']",multiplayer,E
Codemasters,"['Driving', 'Racing', 'Rally / Offroad']",multiplayer,E
Codemasters,"['Driving', 'Racing', 'Rally / Offroad']",multiplayer,E
Square Enix,"['Miscellaneous', 'Compilation']",singleplayer,E10+
2K Sports,"['Sports', 'Traditional', 'Basketball', 'Sim']",multiplayer,E
Puppy Punch Productions,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,NaN
Wow Entertainment,"['Miscellaneous', 'Puzzle', 'Matching']",multiplayer,E
NovaLogic,"['Simulation', 'Flight', 'Helicopter', 'Combat', 'Civilian']",multiplayer,T
Boku Strategy Games,"['Strategy', 'General']",NaN,NaN
BattleBorne,"['Action', 'Shooter', 'Third-Person', 'Historic']",multiplayer,T
Microsoft Game Studios,"['Simulation', 'Flight', 'WWII', 'Combat']",multiplayer,E
Legacy Interactive,"['Action Adventure', 'Modern', 'General']",singleplayer,T
Big Time Software,"['Strategy', 'Turn-Based', 'Wargame', 'General']",multiplayer,T
EA LA,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",multiplayer,T
Petroglyph,"['Miscellaneous', 'Compilation']",multiplayer,T
Westwood Studios,"['Strategy', 'Real-Time', 'Sci-Fi', 'Command']",multiplayer,T
EA LA,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",singleplayer,T
EA LA,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",NaN,T
Various,"['Miscellaneous', 'Compilation']",multiplayer,T
Pyro Studios,"['Strategy', 'Real-Time', 'Military', 'General']",singleplayer,T
Pyro Studios,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Historic']",multiplayer,T
Relic,"['Strategy', 'Real-Time', 'Military', 'General']",NaN,M
Funcom,"['Action Adventure', 'Survival']",multiplayer,NaN
Zoetrope Interactive,"['Adventure', '3D', 'First-Person']",singleplayer,T
Spike,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",NaN,M
Monolith Productions,"['Action Adventure', 'Horror', 'Survival']",multiplayer,M
Monolith Productions,"['Action Adventure', 'Horror', 'Survival']",singleplayer,M
Pivotal Games,"['Action', 'Shooter', 'Third-Person', 'Tactical', 'Modern']",multiplayer,T
Pivotal Games,"['Action', 'Shooter', 'Third-Person', 'Tactical', 'Modern']",multiplayer,T
Pivotal Games,"['Action', 'Shooter', 'Third-Person', 'Tactical', 'Modern']",multiplayer,M
Pivotal Games,"['Action', 'Shooter', 'Third-Person', 'Historic']",multiplayer,M
Rising Star Games,"['Miscellaneous', 'Party / Minigame']",singleplayer,E
Grasshopper Manufacture,"['Role-Playing', 'Console-style RPG', 'Japanese-Style']",multiplayer,E10+
Konami,"['Action', 'Shooter', 'Scrolling']",multiplayer,E
Konami,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",multiplayer,M
Compulsion Games,"['Miscellaneous', 'Puzzle', 'Action']",singleplayer,T
Remedy Entertainment,"['Action Adventure', 'General']",singleplayer,M
Remedy Entertainment,"['Action Adventure', 'General']",singleplayer,M
Remedy Entertainment,"['Action Adventure', 'General']",NaN,M
Remedy Entertainment,"['Action Adventure', 'General']",singleplayer,M
Convoy Games,"['Role-Playing', 'General', 'Roguelike']",singleplayer,NaN
OfficeCreate,"['Simulation', 'Miscellaneous', 'General', 'Virtual', 'Career']",singleplayer,E
Idol Minds,"['Sports', 'Alternative', 'Snowboarding']",multiplayer,E
5pb,"['Action Adventure', 'Survival']",singleplayer,M
5pb,"['Action Adventure', 'Adventure', 'General', 'Horror', 'Survival']",singleplayer,M
The Bearded Ladies Consulting,"['Strategy', 'Turn-Based', 'General']",singleplayer,NaN
Zeboyd Games,"['Role-Playing', 'Japanese-Style']",singleplayer,T
Moving Player,"['Action', 'Shooter', 'Rail']",NaN,E
GSC Game World,"['Strategy', 'Real-Time', 'Historic', 'Command']",singleplayer,T
Double Fine Productions,"['Role-Playing', 'Action RPG']",NaN,E10+
The Counter-Strike Team,"['Action', 'Shooter', 'First-Person', 'Modern', 'Tactical']",multiplayer,M
Valve Software,"['Action', 'Shooter', 'First-Person', 'Modern', 'Tactical']",multiplayer,M
Dynamighty,"['Action', 'General']",NaN,T
Spry Fox,"['Adventure', 'General']",singleplayer,NaN
Ruffian Games,"['Action', 'Shooter', 'Sci-Fi', 'Third-Person', 'Action Adventure', 'Open-World']",multiplayer,M
Sumo Digital,"['Action', 'Sci-Fi', 'Third-Person', 'Shooter', 'Action Adventure', 'Open-World']",multiplayer,M
Flying Cafe for Semianimals,"['Fantasy', 'Adventure', '3D', 'First-Person']",NaN,NaN
Toys for Bob,"['Action', 'Platformer', '3D']",singleplayer,NaN
Vicarious Visions,"['Miscellaneous', 'Compilation']",singleplayer,E10+
Vicarious Visions,"['Action', 'Platformer', '2D']",multiplayer,E
Eurocom Entertainment Software,"['Miscellaneous', 'Party']",multiplayer,E
Epos,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",multiplayer,T
Traveller's Tales,"['Action', 'Platformer', '3D']",singleplayer,E
Amaze Entertainment,"['Action', 'Platformer', 'General', '3D']",multiplayer,E
Radical Entertainment,"['Action', 'Platformer', '3D']",NaN,E10+
Punchers Impact,"['Simulation', 'Driving', 'Car Combat', 'Vehicle', 'Combat']",NaN,NaN
Hitmaker,"['Driving', 'Racing', 'Arcade', 'Automobile']",NaN,E10+
Graphic State,"['Driving', 'Racing', 'Arcade']",singleplayer,E
Amanita Design,"['Adventure', 'General']",singleplayer,T
EA Bright Light,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
Flight School Studio,"['Action Adventure', 'General']",singleplayer,E
Deqaf Studio,"['Adventure', 'General']",singleplayer,NaN
Big Ant Studios,"['Sports', 'Team', 'Cricket']",multiplayer,E
White Birds Productions,"['Adventure', 'General']",NaN,M
Vogster,"['Action', 'Shooter', 'First-Person', 'Modern', 'Arcade']",NaN,M
Image Epoch,"['Role-Playing', 'General']",singleplayer,M
Certain Affinity,"['Action Adventure', 'Fantasy', 'General']",NaN,T
Koei,"['Action', ""Beat-'Em-Up""]",multiplayer,T
FASA Studio,"['Simulation', 'Flight', 'WWII']",multiplayer,T
DreamFactory,"['Action', ""Beat-'Em-Up""]",singleplayer,T
10tons Entertainment,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",NaN,T
Dreams Uncorporated,"['Role-Playing', 'Japanese-Style']",singleplayer,T
Imaginati,"['Action', 'Shooter', 'Light Gun']",singleplayer,M
Skilltree Studios,"['Strategy', 'Turn-Based', 'General', 'Historic']",NaN,NaN
Radical Fish Games,"['Role-Playing', 'Action RPG']",singleplayer,T
Fourattic,"['Action Adventure', 'General']",singleplayer,M
Ubisoft Shanghai,"['Action', ""Beat-'Em-Up""]",singleplayer,T
NExT Studios,"['Role-Playing', 'Roguelike']",singleplayer,NaN
Alt Shift,"['Strategy', 'General']",singleplayer,NaN
Action Forms Ltd.,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",NaN,T
Brace Yourself Games,"['Role-Playing', 'General', 'Action RPG']",NaN,T
Crytek,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Saber Interactive,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,M
Crytek,"['Miscellaneous', 'Compilation']",singleplayer,M
Nicalis,"['Puzzle', 'Stacking']",singleplayer,E10+
Psytec Games Ltd,"['Role-Playing', 'Western-Style']",NaN,T
Creat Studios,"['Miscellaneous', 'Puzzle', 'General']",singleplayer,E
NEC Interchannel,"['Miscellaneous', 'Board Games']",multiplayer,T
Studio MDHR,"['Action', 'Platformer', '2D']",multiplayer,E10+
Maschinen-Mensch,"['Adventure', 'General']",singleplayer,NaN
Passtech Games,"['Role-Playing', 'Action RPG']",singleplayer,NaN
Asylum Entertainment,"['Action Adventure', 'Horror', 'Survival']",singleplayer,M
Noise Inc.,"['Action', 'Fighting', '3D']",multiplayer,T
Mechanical Head Studios,"['Action', 'Platformer', '2D']",singleplayer,E10+
Compile Heart,"['Role-Playing', 'Action RPG']",multiplayer,T
CD Projekt Red Studio,"['Action RPG', 'Role-Playing']",singleplayer,M
Rayark Inc.,"['Action', 'Rhythm', 'Music']",singleplayer,T
Digital Reality,"['Strategy', 'Real-Time', 'Historic', 'General']",multiplayer,T
Access Games,"['Action', 'Adventure', 'General', '3D', 'Point-and-Click', 'Modern', 'Third-Person']",NaN,M
Kalypso,"['Action Adventure', 'Modern', 'General', 'Linear']",singleplayer,M
Unfold Games,"['Action Adventure', 'Adventure', 'General', 'Linear']",singleplayer,NaN
Nintendo,"['Action Adventure', 'Open-World']",singleplayer,E10+
WBIE,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Konami,"['Miscellaneous', 'Rhythm', 'Dancing']",multiplayer,E
Ninja Theory,"['Action', 'Shooter', 'Rail']",singleplayer,E10+
Hidden Path Entertainment,"['Strategy', 'Real-Time', 'General', 'Defense']",multiplayer,E10+
Natsume,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi']",multiplayer,E10+
Codemasters,"['Racing', 'Simulation', 'Automobile']",multiplayer,E
FreeStyleGames,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",multiplayer,T
FreeStyleGames,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",NaN,T
id Software,"['Sci-Fi', 'Action', 'Shooter', 'First-Person', 'Third-Person', 'Arcade']",multiplayer,M
id Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
id Software,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,M
id Software,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,M
id Software,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,M
Reflections Interactive,"['Driving', 'Mission-based']",singleplayer,M
SystemSoft,"['Strategy', 'Turn-Based', 'Modern']",multiplayer,E
Blue Omega,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",NaN,M
Screwtape Studios,"['Action', 'Platformer', '2D']",singleplayer,E10+
Harmonix Music Systems,"['Action', 'Miscellaneous', 'Rhythm', 'Dancing']",singleplayer,T
Konami,"['Miscellaneous', 'Rhythm', 'Dancing']",multiplayer,E10+
Konami,"['Miscellaneous', 'Rhythm', 'Dancing']",multiplayer,E10+
Spike Chunsoft,"['Action', 'General', 'Adventure', 'Visual Novel']",singleplayer,M
Spike Chunsoft,"['Adventure', 'Visual Novel']",singleplayer,NaN
Three Fields Entertainment,"['Racing', 'General', 'Arcade', 'Automobile']",singleplayer,E10+
Three Fields Entertainment,"['Sports', 'Individual', 'Golf', 'Arcade']",NaN,E
Visceral Games,"['Action', 'Action Adventure', ""Beat-'Em-Up"", 'Linear', '2D', '3D']",singleplayer,M
Griptonite Games,"['Action', 'Platformer', '2D']",singleplayer,E
M2,"['Miscellaneous', 'Compilation']",singleplayer,NaN
M2,"['Miscellaneous', 'Compilation']",singleplayer,NaN
Pyramid,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",singleplayer,NaN
Mythic Entertainment,"['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",multiplayer,T
Artifex Mundi,"['Puzzle', 'Hidden Object']",singleplayer,T
Level 5,"['Role-Playing', 'Action RPG']",singleplayer,T
Level 5,"['Role-Playing', 'Action RPG']",singleplayer,T
Hibernian Workshop,"['Action Adventure', 'General']",singleplayer,M
Digital Extremes,"['Action', 'Shooter', 'First-Person', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
From Software,"['Action RPG', 'Role-Playing']",multiplayer,T
Namco Bandai Games,"['Role-Playing', 'Action RPG']",NaN,T
Namco Bandai Games,"['Role-Playing', 'Action RPG']",NaN,T
From Software,"['Role-Playing', 'Action RPG']",NaN,T
From Software,"['Role-Playing', 'Action RPG']",multiplayer,M
From Software,"['Role-Playing', 'Action RPG']",NaN,M
From Software,"['Role-Playing', 'Action RPG']",NaN,M
From Software,"['Role-Playing', 'Action RPG']",multiplayer,M
Paperash studio,"['Adventure', 'General']",NaN,NaN
Airtight Games,"['Action', 'General', 'Shooter', 'Third-Person', 'Arcade']",singleplayer,T
Ascaron Entertainment GmbH,"['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",singleplayer,T
Red Hook Studios,"['Role-Playing', 'General']",singleplayer,T
Epic llama warchief,"['Adventure', 'Point-and-Click']",singleplayer,NaN
Allgraf,"['Action', 'Miscellaneous', 'Platformer', '2D', 'General', 'Action Adventure', 'Sandbox']",NaN,NaN
Vigil Games,"['Action Adventure', 'Modern', 'Fantasy', 'Open-World']",singleplayer,M
Airship Syndicate Entertainment,"['Role-Playing', 'Action RPG']",multiplayer,T
Vigil Games,"['Modern', 'Action Adventure', 'Fantasy', 'Open-World']",singleplayer,M
Gunfire Games,"['Action Adventure', 'Open-World']",singleplayer,M
Nordic Games Publishing,"['Action Adventure', 'Open-World']",NaN,M
Iron Galaxy Studios,"['Action', 'Miscellaneous', 'Fighting', 'Compilation', '2D']",multiplayer,T
Parallax Software,"['Action', 'Adventure', 'Interactive Movie', 'General']",NaN,M
Acid Wizard Studio,"['Action Adventure', 'Horror', 'Survival']",singleplayer,NaN
Introversion,"['Strategy', 'Real-Time', 'Sci-Fi', 'General']",singleplayer,E
Phoenix Labs,"['Role-Playing', 'Action RPG']",multiplayer,T
"Z-Axis, Ltd.","['Sports', 'Alternative', 'Individual', 'Biking']",singleplayer,E
"Z-Axis, Ltd.","['Sports', 'Alternative', 'Biking']",multiplayer,T
Yoyo Entertainment,"['Sports', 'Traditional', 'Soccer', 'Arcade']",NaN,E
Blue Byte,"['Strategy', 'Real-Time', 'Historic', 'General']",singleplayer,T
Square Enix,"['Action Adventure', 'Fantasy']",singleplayer,T
Ready at Dawn,"['Action', 'Platformer', '3D']",multiplayer,E10+
Double Fine Productions,"['Adventure', 'Point-and-Click']",singleplayer,NaN
Zombie Studios,"['Horror', 'Action Adventure', 'Survival']",NaN,M
The Dangerous Kitchen,"['Action', 'Platformer', '2D']",NaN,E
Candygun Games,"['Strategy', 'General']",NaN,T
Motion Twin,"['Action', 'Platformer', '2D']",singleplayer,T
Techland,"['Action Adventure', 'Horror', 'Survival']",multiplayer,M
Techland,"['Miscellaneous', 'Compilation']",NaN,M
Techland,"['Action', 'Shooter', 'First-Person', 'Modern', 'Arcade']",multiplayer,M
Human Head Studios,"['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",multiplayer,T
Blue Castle Games,"['Action Adventure', 'Horror', 'Open-World']",multiplayer,M
Capcom Vancouver,"['Action Adventure', 'Horror', 'Open-World']",multiplayer,M
Capcom,"['Action Adventure', 'Open-World']",multiplayer,M
Capcom,['Action Adventure'],NaN,NaN
Visceral Games,"['Action', 'Action Adventure', 'Shooter', 'Linear', 'Third-Person', 'Sci-Fi']",NaN,M
Sumo Digital,"['Miscellaneous', 'Puzzle', 'Action', 'Shooter', 'Third-Person', 'General', 'Sci-Fi']",NaN,M
Visceral Games,"['Action', 'Action Adventure', 'Horror', 'Shooter', 'Light Gun']",singleplayer,M
DoubleBear Productions,"['General', 'Role-Playing']",singleplayer,NaN
Behaviour Interactive,"['Action Adventure', 'Survival']",multiplayer,M
Team Ninja,"['Action', 'Fighting', '3D']",multiplayer,M
Team Ninja,"['Action', 'Fighting', '3D']",multiplayer,M
Team Ninja,"['Action', 'Fighting', '3D']",multiplayer,M
Namco,"['Action', 'Shooter', 'Third-Person', 'Modern']",singleplayer,M
Namco,"['Action', 'Shooter', 'Third-Person', 'Modern']",singleplayer,M
Grip Games,"['Action', 'Shooter', 'First-Person', 'Arcade']",singleplayer,E
Crave,"['Sports', 'Driving', 'General', 'Individual', 'Nature', 'Fishing']",NaN,E10+
Tequila Works,"['Action', 'Platformer', '2D']",NaN,M
Access Games,"['Action Adventure', 'Horror', 'Open-World']",singleplayer,M
High Moon Studios,"['Fighting', '3D', 'Action', 'Action Adventure', ""Beat-'Em-Up"", 'Shooter', 'Linear', 'Third-Person', 'Arcade']",singleplayer,M
The Chinese Room,"['Adventure', '3D', 'First-Person', 'Fantasy']",singleplayer,NaN
Premium Agency ,"['Adventure', 'General']",multiplayer,T
Kojima Productions,"['Action', 'General']",singleplayer,M
Acid Nerve,"['Action Adventure', 'General']",singleplayer,E10+
Hothead Games,"['Role-Playing', 'Action RPG']",NaN,T
Hothead Games,"['Role-Playing', 'Action RPG']",singleplayer,T
Arkane Studios,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Biart,"['Action', 'General', 'Shooter', 'Third-Person', 'Modern', 'Arcade']",NaN,M
Interactive Brains,"['Role-Playing', 'Action RPG']",singleplayer,E10+
Ghost Ship Games,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,NaN
Terminal Reality,"['Action', 'Miscellaneous', 'Rhythm', 'Music']",singleplayer,T
Aki Corp.,"['Action', 'Fighting', 'Wrestling']",multiplayer,T
Aki Corp.,"['Action', 'Fighting', 'Wrestling']",multiplayer,M
EA Chicago,"['Action', 'Fighting', '3D']",multiplayer,M
7 Studios,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi']",multiplayer,T
Most Wanted Entertainment,"['Strategy', 'Real-Time', 'General', 'Defense']",multiplayer,T
Hidden Path Entertainment,"['Strategy', 'Real-Time', 'General', 'Sci-Fi', 'Defense']",NaN,E10+
Trion Worlds,"['Role-Playing', 'Massively Multiplayer Online', 'Sci-Fi', 'Action', 'Shooter', 'Third-Person', 'Arcade']",multiplayer,M
Moondrop Studios,"['Action', 'Platformer', '2D']",multiplayer,E
KeokeN Interactive,"['Adventure', 'General']",singleplayer,T
Rebellion,"['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",multiplayer,T
Renegade Kid,"['Action Adventure', 'Survival']",NaN,M
Renegade Kid,"['Action', 'Action Adventure', 'Shooter', 'Horror', 'Survival', 'First-Person', 'Modern']",singleplayer,M
Positech Games,"['Strategy', 'Tycoon', 'Management', 'Business / Tycoon']",singleplayer,T
Positech Games,"['Strategy', 'General']",singleplayer,NaN
Experience Inc.,"['Role-Playing', 'Western-Style']",singleplayer,T
Badland Games,"['Action', 'General']",singleplayer,T
JapanStudio,"['Role-Playing', 'Action RPG']",multiplayer,M
Daedalic Entertainment,"['Adventure', 'General']",singleplayer,NaN
From Software,"['Adventure', 'General']",singleplayer,T
Different Tuna,"['Miscellaneous', 'Racing', 'General']",NaN,E10+
Ink Kit,"['Puzzle', 'General']",singleplayer,NaN
Spellbound,"['Strategy', 'Real-Time', 'Historic', 'General']",singleplayer,T
Mimimi Productions,"['Strategy', 'Real-Time', 'Tactics']",singleplayer,M
WayForward,"['Action', 'Miscellaneous', 'Puzzle', 'General']",NaN,E
Bungie Software,"['Shooter', 'Sci-Fi', 'Action', 'First-Person', 'Arcade']",multiplayer,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Bungie Software,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",multiplayer,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,T
Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",NaN,NaN
Pandemic Studios,"['Action Adventure', 'Sci-Fi']",singleplayer,T
Pandemic Studios,"['Action Adventure', 'Sci-Fi']",multiplayer,T
Sandblast,"['Action Adventure', 'Sci-Fi', 'General']",multiplayer,T
Lucid,"['Simulation', 'Vehicle', 'Combat']",multiplayer,NaN
Red Candle Games,"['Adventure', 'General']",singleplayer,M
Eidos Montreal,"['Action Adventure', 'Sci-Fi', 'General']",NaN,M
Ion Storm,"['Action Adventure', 'Sci-Fi']",singleplayer,M
Eidos Montreal,"['Action Adventure', 'General']",singleplayer,M
Digitalo Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Capcom,"['Action Adventure', 'Fantasy']",singleplayer,M
Capcom,"['Action Adventure', 'Linear']",singleplayer,M
Capcom,"['Action', 'Action Adventure', 'Shooter', 'Fantasy', 'General', 'Linear', 'Third-Person']",singleplayer,M
Capcom,"['Fantasy', 'Action Adventure', 'General', 'Linear']",NaN,M
Capcom,"['Action Adventure', 'General']",multiplayer,M
Capcom,"['Miscellaneous', 'Action Adventure', 'Fantasy', 'Compilation']",singleplayer,M
Layopi Games,"['Action Adventure', 'General']",singleplayer,M
QubicGames,"['Role-Playing', 'Action RPG']",singleplayer,M
Codemasters,"['Driving', 'Racing', 'Simulation', 'Rally / Offroad', 'Automobile']",multiplayer,E
Firebrand Games,"['Driving', 'Racing', 'Simulation', 'Rally / Offroad', 'Automobile']",NaN,E
Codemasters,"['Racing', 'Simulation', 'Automobile']",NaN,T
Codemasters,"['Racing', 'Simulation', 'Automobile']",NaN,E
